Exx_1,Eyy_1,Ezz_1,Exy_1,Eyz_1,Ezx_1,time,Exx_2,Eyy_2,Ezz_2,Exy_2,Eyz_2,Ezx_2,Exx_orig_1,Eyy_orig_1,Ezz_orig_1,Exy_orig_1,Eyz_orig_1,Ezx_orig_1,Exx_orig_2,Eyy_orig_2,Ezz_orig_2,Exy_orig_2,Eyz_orig_2,Ezx_orig_2,Exx_eng_1,Exx_eng_2,Eyy_eng_1,Eyy_eng_2,Ezz_eng_1,Ezz_eng_2,Exy_eng_1,Exy_eng_2,Eyz_eng_1,Eyz_eng_2,Ezx_eng_1,Ezx_eng_2
-0.30131576194982523,0.30131576194982523,0.0,0.10098983653112044,0.0,0.0,38.84993813857572,0.001669549139550842,0.0016695491395507021,0.0,-0.5726923256127755,0.0,0.0,0.10098983653112048,-0.10098983653112048,0.0,0.30131576194982523,0.0,0.0,-0.5710227764732247,0.5743618747523263,0.0,0.0,0.0,0.0,0.1062653982123396,-0.4350526717249089,-0.09605777997220044,0.7759968568066313,0.0,0.0,0.3516360694029874,0.0,0.0,0.0,0.0,0.0
-0.3016486336179232,0.3016486336179232,0.0,0.10124142506788428,0.0,0.0,38.899998497296814,0.0016698889635040548,0.0016698889635038592,0.0,-0.5732555701647996,0.0,0.0,0.10124142506788429,-0.10124142506788429,0.0,0.3016486336179232,0.0,0.0,-0.5715856812012956,0.5749254591283035,0.0,0.0,0.0,0.0,0.10654375691960993,-0.43537059375880316,-0.0962851728667341,0.7769980629924931,0.0,0.0,0.3520860656474163,0.0,0.0,0.0,0.0,0.0
-0.3019805459507031,0.3019805459507031,0.0,0.10149272352123315,0.0,0.0,38.949946067464616,0.00167022780502295,0.0016702278050227544,0.0,-0.5738172295382499,0.0,0.0,0.1014927235212332,-0.1014927235212332,0.0,0.3019805459507031,0.0,0.0,-0.5721470017332271,0.5754874573432728,0.0,0.0,0.0,0.0,0.10682186459683773,-0.4356874429021744,-0.09651224647224321,0.777997013409782,0.0,0.0,0.3525349141726444,0.0,0.0,0.0,0.0,0.0
-0.30231262451242763,0.30231262451242763,0.0,0.10174458334689111,0.0,0.0,38.999950210281554,0.0016705668613805362,0.0016705668613803406,0.0,-0.5743792090380747,0.0,0.0,0.10174458334689117,-0.10174458334689117,0.0,0.30231262451242763,0.0,0.0,-0.5727086421766943,0.5760497758994552,0.0,0.0,0.0,0.0,0.10710066366635829,-0.4360042946702841,-0.09673977008709911,0.7789970952792031,0.0,0.0,0.35298413660606665,0.0,0.0,0.0,0.0,0.0
-0.3026443068413586,0.3026443068413586,0.0,0.10199657832721835,0.0,0.0,39.049926292381336,0.0016709055447041183,0.0016709055447038834,0.0,-0.5749405575974259,0.0,0.0,0.10199657832721844,-0.10199657832721844,0.0,0.3026443068413586,0.0,0.0,-0.5732696520527218,0.5766114631421299,0.0,0.0,0.0,0.0,0.10737968263053199,-0.4363206130938352,-0.09696735845419902,0.7799966159350991,0.0,0.0,0.3534329719667668,0.0,0.0,0.0,0.0,0.0
-0.3029761535912537,0.3029761535912537,0.0,0.10224913478970371,0.0,0.0,39.09995885175513,0.00167124446719056,0.00167124446719042,0.0,-0.5755022248226651,0.0,0.0,0.10224913478970375,-0.10224913478970375,0.0,0.3029761535912537,0.0,0.0,-0.5738309803554746,0.5771734692898556,0.0,0.0,0.0,0.0,0.10765939384575596,-0.43663693349928,-0.09719539638621777,0.7809972661356297,0.0,0.0,0.35388217882951123,0.0,0.0,0.0,0.0,0.0
-0.3033076036419212,0.30330760364192116,0.0,0.10250182605838574,0.0,0.0,39.149963350050754,0.0016715829278455632,0.0016715829278453676,0.0,-0.5760632618971205,0.0,0.0,0.10250182605838577,-0.10250182605838577,0.0,0.30330760364192116,0.0,0.0,-0.5743916789692751,0.5777348448249661,0.0,0.0,0.0,0.0,0.10793932506985304,-0.4369527218504148,-0.09742349840596876,0.7819973551154158,0.0,0.0,0.3543309975226625,0.0,0.0,0.0,0.0,0.0
-0.30363865743009805,0.30363865743009805,0.0,0.10275465173135892,0.0,0.0,39.19993983444899,0.0016719209682451823,0.0016719209682449865,0.0,-0.5766236701928215,0.0,0.0,0.10275465173135898,-0.10275465173135898,0.0,0.30363865743009805,0.0,0.0,-0.5749517492245764,0.5782955911610665,0.0,0.0,0.0,0.0,0.10821947598850712,-0.4372679795917521,-0.09765166407310955,0.7829968838180759,0.0,0.0,0.3547794281530716,0.0,0.0,0.0,0.0,0.0
-0.30396987360079575,0.3039698736007958,0.0,0.10300803881764435,0.0,0.0,39.24997270086033,0.0016722593289808972,0.0016722593289807013,0.0,-0.5771843959938909,0.0,0.0,0.10300803881764438,-0.10300803881764438,0.0,0.30396987360079575,0.0,0.0,-0.5755121366649102,0.5788566553228718,0.0,0.0,0.0,0.0,0.10850032007212196,-0.4375832392062482,-0.09788027852356662,0.7839975401601524,0.0,0.0,0.3552282273280736,0.0,0.0,0.0,0.0,0.0
-0.3043006930434615,0.3043006930434615,0.0,0.10326155995856959,0.0,0.0,39.299977553015616,0.0016725972002466746,0.0016725972002465343,0.0,-0.577744493782817,0.0,0.0,0.10326155995856963,-0.10326155995856963,0.0,0.3043006930434615,0.0,0.0,-0.5760718965825704,0.5794170909830636,0.0,0.0,0.0,0.0,0.1087813839642966,-0.4378979694710493,-0.09810895595609992,0.7849976362179234,0.0,0.0,0.3556766373422091,0.0,0.0,0.0,0.0,0.0
-0.3046311161941993,0.3046311161941993,0.0,0.10351521475329063,0.0,0.0,39.34995443793815,0.0016729347444943007,0.0016729347444941049,0.0,-0.5783039648036632,0.0,0.0,0.10351521475329067,-0.10351521475329067,0.0,0.3046311161941993,0.0,0.0,-0.576631030059169,0.5799768995481575,0.0,0.0,0.0,0.0,0.10906266735156844,-0.4382121716849082,-0.09833769593201536,0.7859971729318538,0.0,0.0,0.3561246583022737,0.0,0.0,0.0,0.0,0.0
-0.3049616996925144,0.3049616996925144,0.0,0.10376943088741179,0.0,0.0,39.39998760993393,0.0016732724494518982,0.0016732724494517024,0.0,-0.5788637524156345,0.0,0.0,0.10376943088741186,-0.10376943088741186,0.0,0.3049616996925144,0.0,0.0,-0.5771904799661827,0.5805370248650863,0.0,0.0,0.0,0.0,0.10934464481545247,-0.43852637593425636,-0.09856688390436386,0.7869978353864011,0.0,0.0,0.35657304484647945,0.0,0.0,0.0,0.0,0.0
-0.30529188643425575,0.30529188643425575,0.0,0.10402378032450042,0.0,0.0,39.44999281434061,0.0016736098642697876,0.0016736098642695526,0.0,-0.5794229139165812,0.0,0.0,0.10402378032450048,-0.10402378032450048,0.0,0.30529188643425575,0.0,0.0,-0.5777493040523115,0.5810965237808509,0.0,0.0,0.0,0.0,0.10962684188821048,-0.4388400532657233,-0.09879613375399476,0.7879979384899853,0.0,0.0,0.3570210412372554,0.0,0.0,0.0,0.0,0.0
-0.305621676854898,0.305621676854898,0.0,0.10427826266477007,0.0,0.0,39.49997009802484,0.0016739467588130533,0.0016739467588128183,0.0,-0.5799814509361085,0.0,0.0,0.10427826266477012,-0.10427826266477012,0.0,0.305621676854898,0.0,0.0,-0.5783075041772956,0.5816553976949215,0.0,0.0,0.0,0.0,0.1099092582572252,-0.43915320540921243,-0.09902544504386268,0.7889974831799296,0.0,0.0,0.3574686475813509,0.0,0.0,0.0,0.0,0.0
-0.30595107138897654,0.30595107138897654,0.0,0.1045328775094562,0.0,0.0,39.54991950772223,0.0016742834026283089,0.0016742834026281129,0.0,-0.5805393645994608,0.0,0.0,0.10453287750945624,-0.10453287750945624,0.0,0.30595107138897654,0.0,0.0,-0.5788650811968326,0.582213648002089,0.0,0.0,0.0,0.0,0.1101918936106836,-0.4394658335281304,-0.0992548173382043,0.7899964703909512,0.0,0.0,0.35791586398532305,0.0,0.0,0.0,0.0,0.0
-0.3062806240074056,0.3062806240074055,0.0,0.10478805343889963,0.0,0.0,39.59992510966922,0.0016746202171230898,0.0016746202171228938,0.0,-0.5810975941193288,0.0,0.0,0.10478805343889967,-0.10478805343889967,0.0,0.3062806240074055,0.0,0.0,-0.5794229739022059,0.5827722143364519,0.0,0.0,0.0,0.0,0.11047522400700749,-0.43977846423541334,-0.0994846365039751,0.7909965814461206,0.0,0.0,0.35836344246018403,0.0,0.0,0.0,0.0,0.0
-0.3066103331455343,0.3066103331455343,0.0,0.10504379072168747,0.0,0.0,39.6499868099155,0.0016749571919504153,0.0016749571919502193,0.0,-0.58165613775426,0.0,0.0,0.10504379072168751,-0.10504379072168751,0.0,0.30661033314553426,0.0,0.0,-0.5799811805623096,0.5833310949462103,0.0,0.0,0.0,0.0,0.11075925023989863,-0.4400910963630249,-0.09971490241110059,0.7919978144664337,0.0,0.0,0.3588113811407434,0.0,0.0,0.0,0.0,0.0
